subsidiary;customer_id;year;risk;Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;RGPD KO;Present residence since;Property;Age in years;Evaluation;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Téléphone;foreign worker
german;855;2014;0;no checking account;36;delay in paying off;car (new);10875;<100 DM;>=7 years;2;male:single;none;;2;car or other;45;80,9;none;own;2;skilled employee / official;2;yes;yes
german;701;2013;1;no checking account;12;existing credits paid back duly till now;furniture/equipment;1123;500 <= < 1000 DM;1<= < 4 years;4;female:divorced/separated/married;none;;4;car or other;29;94,7;none;rent;1;unskilled - resident;1;none;yes
german;218;2011;0;>= 200 DM ;36;existing credits paid back duly till now;radio/télévision;3913;<100 DM;1<= < 4 years;2;male:single;none;2;2;real estate;23;28,2;none;own;1;skilled employee / official;1;yes;yes
german;994;2014;0;<0 DM;36;existing credits paid back duly till now;furniture/equipment;3959;<100 DM;unemployed;4;male:single;none;;3;savings agreement/life insurance;30;93,1;none;own;1;management/ highly qualified employee;1;yes;yes
german;797;2013;1;<0 DM;18;existing credits paid back duly till now;car (used);7511;no savings account;>=7 years;1;male:single;none;;4;savings agreement/life insurance;51;57,3;none;for free;1;skilled employee / official;2;yes;yes
german;819;2014;0;<0 DM;36;existing credits paid back duly till now;others;15857;<100 DM;unemployed;2;male:divorced/separated;co-applicant;;3;car or other;43;83,6;none;own;1;management/ highly qualified employee;1;none;yes
german;42;2010;0;0 <= <200 DM;12;existing credits paid back duly till now;radio/télévision;1158;500 <= < 1000 DM;1<= < 4 years;3;male:divorced/separated;none;3;1;car or other;26;54,8;none;own;1;skilled employee / official;1;yes;yes
german;377;2011;0;no checking account;18;delay in paying off;radio/télévision;2320;<100 DM;unemployed;2;male:married/widowed;none;2;3;real estate;34;48,9;none;own;2;skilled employee / official;1;none;yes
german;59;2010;0;>= 200 DM ;18;existing credits paid back duly till now;car (new);1961;<100 DM;>=7 years;3;female:divorced/separated/married;none;2;2;car or other;23;98,2;none;own;1;management/ highly qualified employee;1;none;yes
german;402;2012;0;0 <= <200 DM;18;critical account;business;1887;no savings account;1<= < 4 years;4;male:married/widowed;none;3;4;real estate;28;10,7;bank;own;2;skilled employee / official;1;none;yes
german;814;2014;1;<0 DM;48;existing credits paid back duly till now;domestic appliances;3051;<100 DM;1<= < 4 years;3;male:single;none;;4;car or other;54;47,9;none;own;1;skilled employee / official;1;none;yes
german;32;2010;0;<0 DM;24;existing credits paid back duly till now;furniture/equipment;4020;<100 DM;1<= < 4 years;2;male:single;none;2;2;car or other;27;55,8;store;own;1;skilled employee / official;1;none;yes
german;494;2012;0;0 <= <200 DM;6;existing credits paid back duly till now;radio/télévision;368;no savings account;>=7 years;4;male:single;none;2;4;savings agreement/life insurance;38;50,2;none;own;1;skilled employee / official;1;none;yes
german;666;2013;0;no checking account;24;critical account;others;6314;<100 DM;unemployed;4;male:single;co-applicant;;2;unknown / no property;27;14,3;bank;own;2;management/ highly qualified employee;1;yes;yes
german;205;2011;0;no checking account;12;critical account;car (new);1495;<100 DM;>=7 years;4;male:single;none;1;1;real estate;38;20,7;none;own;2;unskilled - resident;2;none;yes
german;437;2012;0;no checking account;6;existing credits paid back duly till now;repairs;660;500 <= < 1000 DM;4<= <7 years;2;male:married/widowed;none;2;4;real estate;23;34,2;none;rent;1;unskilled - resident;1;none;yes
german;24;2010;0;0 <= <200 DM;12;critical account;car (used);1804;100 <= <500 DM;<1 years;3;male:single;none;3;4;savings agreement/life insurance;44;48,8;none;own;1;skilled employee / official;1;none;yes
german;23;2010;0;<0 DM;10;critical account;car (new);2241;<100 DM;<1 years;1;male:single;none;2;3;real estate;48;90,7;none;rent;2;unskilled - resident;2;none;no
german;83;2010;0;no checking account;18;existing credits paid back duly till now;business;1568;100 <= <500 DM;1<= < 4 years;3;female:divorced/separated/married;none;2;4;savings agreement/life insurance;24;32,3;none;rent;1;unskilled - resident;1;none;yes
german;758;2013;1;>= 200 DM ;15;critical account;radio/télévision;1271;no savings account;1<= < 4 years;3;male:single;none;;4;unknown / no property;39;78,1;none;for free;2;skilled employee / official;1;yes;yes
german;311;2011;0;0 <= <200 DM;48;existing credits paid back duly till now;others;5381;no savings account;unemployed;3;male:single;none;2;4;unknown / no property;40;32,5;bank;for free;1;unemployed/ unskilled  - non-resident;1;yes;yes
german;100;2010;0;0 <= <200 DM;20;delay in paying off;car (used);7057;no savings account;4<= <7 years;3;male:single;none;1;4;savings agreement/life insurance;36;67,3;bank;rent;2;management/ highly qualified employee;2;yes;yes
german;475;2012;1;0 <= <200 DM;18;critical account;radio/télévision;1245;<100 DM;1<= < 4 years;4;male:married/widowed;none;1;2;car or other;33;94,8;none;own;1;skilled employee / official;1;none;yes
german;542;2012;0;no checking account;24;delay in paying off;car (new);2032;<100 DM;>=7 years;4;male:single;none;2;4;unknown / no property;60;23,9;none;for free;2;skilled employee / official;1;yes;yes
german;383;2011;0;no checking account;22;existing credits paid back duly till now;car (new);1283;no savings account;4<= <7 years;4;female:divorced/separated/married;none;2;4;savings agreement/life insurance;25;99,3;none;rent;1;skilled employee / official;1;none;yes
german;683;2013;0;no checking account;15;delay in paying off;radio/télévision;1478;<100 DM;1<= < 4 years;4;male:married/widowed;none;;3;real estate;33;12,3;bank;own;2;skilled employee / official;1;none;yes
german;410;2012;1;>= 200 DM ;12;critical account;car (new);939;500 <= < 1000 DM;4<= <7 years;4;male:married/widowed;none;2;2;real estate;28;37,5;none;own;3;skilled employee / official;1;yes;yes
german;771;2013;0;<0 DM;24;existing credits paid back duly till now;car (used);2812;no savings account;>=7 years;2;female:divorced/separated/married;none;;4;real estate;26;78,8;none;rent;1;skilled employee / official;1;none;yes
german;588;2012;0;<0 DM;12;existing credits paid back duly till now;furniture/equipment;1289;<100 DM;1<= < 4 years;4;male:single;guarantor;3;1;savings agreement/life insurance;21;27,2;none;own;1;unskilled - resident;1;none;yes
german;787;2013;0;no checking account;22;existing credits paid back duly till now;radio/télévision;2675;500 <= < 1000 DM;>=7 years;3;male:single;none;;4;car or other;40;69,2;none;own;1;skilled employee / official;1;none;yes
german;29;2010;0;0 <= <200 DM;7;existing credits paid back duly till now;radio/télévision;2415;<100 DM;1<= < 4 years;3;male:single;guarantor;2;2;real estate;34;20,3;none;own;1;skilled employee / official;1;none;yes
german;688;2013;0;0 <= <200 DM;36;delay in paying off;car (new);2862;100 <= <500 DM;>=7 years;4;male:single;none;;3;unknown / no property;30;39,7;none;for free;1;skilled employee / official;1;none;yes
german;765;2013;0;no checking account;24;critical account;car (new);2463;100 <= <500 DM;4<= <7 years;4;male:married/widowed;none;;3;savings agreement/life insurance;27;32,8;none;own;2;skilled employee / official;1;yes;yes
german;774;2013;0;no checking account;24;critical account;radio/télévision;2223;100 <= <500 DM;>=7 years;4;male:single;none;;4;savings agreement/life insurance;52;57;bank;own;2;skilled employee / official;1;none;yes
german;999;2014;1;<0 DM;45;existing credits paid back duly till now;radio/télévision;1845;<100 DM;1<= < 4 years;4;male:single;none;;4;unknown / no property;23;48,9;none;for free;1;skilled employee / official;1;yes;yes
german;401;2012;0;no checking account;18;existing credits paid back duly till now;radio/télévision;1473;<100 DM;<1 years;3;male:married/widowed;none;2;4;real estate;39;65,5;none;own;1;skilled employee / official;1;yes;yes
german;40;2010;0;0 <= <200 DM;9;existing credits paid back duly till now;radio/télévision;458;<100 DM;1<= < 4 years;4;male:single;none;1;3;real estate;24;36,3;none;own;1;skilled employee / official;1;none;yes
german;304;2011;0;<0 DM;10;critical account;car (new);1038;<100 DM;4<= <7 years;4;male:single;co-applicant;1;3;savings agreement/life insurance;49;52,2;none;own;2;skilled employee / official;1;yes;yes
german;207;2011;0;no checking account;12;critical account;furniture/equipment;1935;<100 DM;>=7 years;4;male:single;none;3;4;real estate;43;75,5;none;own;3;skilled employee / official;1;yes;yes
german;892;2014;0;no checking account;15;critical account;radio/télévision;1829;<100 DM;>=7 years;4;male:single;none;;4;car or other;46;91,5;none;own;2;skilled employee / official;1;yes;yes
german;51;2010;0;0 <= <200 DM;24;delay in paying off;furniture/equipment;2333;no savings account;<1 years;4;male:single;none;3;2;savings agreement/life insurance;29;32,6;bank;own;1;unskilled - resident;1;none;yes
german;818;2014;0;no checking account;6;critical account;radio/télévision;1554;<100 DM;4<= <7 years;1;female:divorced/separated/married;none;;2;car or other;24;42,4;none;rent;2;skilled employee / official;1;yes;yes
german;560;2012;1;0 <= <200 DM;18;critical account;furniture/equipment;1928;<100 DM;<1 years;2;male:single;none;2;2;real estate;31;42,4;none;own;2;unskilled - resident;1;none;yes
german;863;2014;1;<0 DM;24;existing credits paid back duly till now;radio/télévision;2439;<100 DM;<1 years;4;female:divorced/separated/married;none;;4;real estate;35;5,9;none;own;1;skilled employee / official;1;yes;yes
german;742;2013;0;0 <= <200 DM;10;all credits at this bank paid back duly;radio/télévision;1048;<100 DM;1<= < 4 years;4;male:single;none;;4;real estate;23;20,6;store;own;1;unskilled - resident;1;none;yes
german;17;2010;0;no checking account;24;critical account;radio/télévision;2424;no savings account;>=7 years;4;male:single;none;2;4;savings agreement/life insurance;53;61;none;own;2;skilled employee / official;1;none;yes
german;949;2014;1;no checking account;18;existing credits paid back duly till now;furniture/equipment;1533;<100 DM;<1 years;4;male:married/widowed;co-applicant;;1;savings agreement/life insurance;43;82,9;none;own;1;unskilled - resident;2;none;yes
german;561;2012;0;<0 DM;24;existing credits paid back duly till now;car (used);2964;no savings account;>=7 years;4;male:single;none;3;4;unknown / no property;49;78;bank;for free;1;skilled employee / official;2;yes;yes
german;296;2011;1;0 <= <200 DM;48;existing credits paid back duly till now;furniture/equipment;9960;<100 DM;<1 years;1;female:divorced/separated/married;none;2;2;car or other;26;8;none;own;1;skilled employee / official;1;yes;yes
german;938;2014;0;0 <= <200 DM;6;existing credits paid back duly till now;radio/télévision;2063;<100 DM;<1 years;4;male:married/widowed;none;;3;car or other;30;61,4;none;rent;1;management/ highly qualified employee;1;yes;yes
german;21;2010;0;no checking account;9;critical account;car (new);2134;<100 DM;1<= < 4 years;4;male:single;none;3;4;car or other;48;91,5;none;own;3;skilled employee / official;1;yes;yes
german;180;2010;0;<0 DM;21;critical account;car (new);571;<100 DM;>=7 years;4;male:single;none;3;4;real estate;65;20,9;none;own;2;skilled employee / official;1;none;yes
german;46;2010;0;no checking account;11;critical account;car (new);1393;<100 DM;<1 years;4;female:divorced/separated/married;none;1;4;car or other;35;52,6;none;own;2;management/ highly qualified employee;1;none;yes
german;959;2014;1;<0 DM;28;existing credits paid back duly till now;car (new);4006;<100 DM;1<= < 4 years;3;male:single;none;;2;car or other;45;80,3;none;own;1;unskilled - resident;1;none;yes
german;694;2013;0;<0 DM;6;critical account;car (new);4716;no savings account;<1 years;1;male:single;none;;3;real estate;44;46,3;none;own;2;unskilled - resident;2;none;yes
german;584;2012;1;0 <= <200 DM;36;existing credits paid back duly till now;repairs;2384;<100 DM;<1 years;4;male:single;none;2;1;unknown / no property;33;42,1;none;rent;1;unskilled - resident;1;none;yes
german;260;2011;0;no checking account;11;critical account;radio/télévision;1154;100 <= <500 DM;unemployed;4;female:divorced/separated/married;none;2;4;real estate;57;30,5;none;own;3;unskilled - resident;1;none;yes
german;54;2010;0;no checking account;18;existing credits paid back duly till now;car (used);3378;no savings account;1<= < 4 years;2;male:single;none;3;1;savings agreement/life insurance;31;5,7;none;own;1;skilled employee / official;1;yes;yes
german;404;2012;0;no checking account;14;delay in paying off;car (new);802;<100 DM;1<= < 4 years;4;male:single;none;2;2;car or other;27;65,3;none;own;2;unskilled - resident;1;none;yes
german;274;2011;1;0 <= <200 DM;48;existing credits paid back duly till now;radio/télévision;3060;<100 DM;4<= <7 years;4;male:single;none;1;4;real estate;28;74,3;none;own;2;skilled employee / official;1;none;yes
german;306;2011;0;no checking account;6;existing credits paid back duly till now;furniture/equipment;1543;>= 1000 DM;1<= < 4 years;4;male:divorced/separated;none;3;2;real estate;33;82,4;none;own;1;skilled employee / official;1;none;yes
german;547;2012;0;no checking account;24;critical account;car (new);2022;<100 DM;1<= < 4 years;4;female:divorced/separated/married;none;1;4;car or other;37;90,5;none;own;1;skilled employee / official;1;yes;yes
german;585;2012;0;no checking account;12;existing credits paid back duly till now;car (new);2133;no savings account;>=7 years;4;female:divorced/separated/married;none;3;4;unknown / no property;52;93,9;none;for free;1;management/ highly qualified employee;1;yes;yes
german;799;2013;0;no checking account;24;delay in paying off;car (new);717;no savings account;>=7 years;4;male:married/widowed;none;;4;car or other;54;20;none;own;2;skilled employee / official;1;yes;yes
german;531;2012;0;0 <= <200 DM;36;existing credits paid back duly till now;education;2273;<100 DM;4<= <7 years;3;male:single;none;3;1;car or other;32;22,1;none;own;2;skilled employee / official;2;none;yes
german;476;2012;1;<0 DM;18;no credits taken;furniture/equipment;3114;<100 DM;<1 years;1;female:divorced/separated/married;none;2;4;savings agreement/life insurance;26;5,9;none;rent;1;skilled employee / official;1;none;yes
german;848;2014;0;no checking account;24;existing credits paid back duly till now;car (new);1249;<100 DM;<1 years;4;male:married/widowed;none;;2;real estate;28;83,5;none;own;1;skilled employee / official;1;none;yes
german;958;2014;0;0 <= <200 DM;9;critical account;radio/télévision;1154;<100 DM;>=7 years;2;male:single;none;;4;real estate;37;64,7;none;own;3;unskilled - resident;1;none;yes
german;556;2012;1;0 <= <200 DM;12;existing credits paid back duly till now;radio/télévision;1331;<100 DM;<1 years;2;male:single;none;1;1;car or other;22;51,7;store;own;1;skilled employee / official;1;none;yes
german;130;2010;1;<0 DM;12;critical account;car (new);3499;<100 DM;1<= < 4 years;3;female:divorced/separated/married;co-applicant;1;2;real estate;29;44,7;none;own;2;skilled employee / official;1;none;yes
german;907;2014;0;<0 DM;21;existing credits paid back duly till now;car (new);3763;no savings account;4<= <7 years;2;male:single;co-applicant;;2;real estate;24;90,3;none;own;1;unskilled - resident;1;none;no
german;669;2013;1;<0 DM;12;critical account;car (new);4843;<100 DM;>=7 years;3;male:single;co-applicant;;4;savings agreement/life insurance;43;81,9;none;rent;2;skilled employee / official;1;yes;yes
german;93;2010;1;no checking account;12;critical account;radio/télévision;797;no savings account;>=7 years;4;female:divorced/separated/married;none;3;3;savings agreement/life insurance;33;55,6;bank;own;1;unskilled - resident;2;none;yes
german;769;2013;0;0 <= <200 DM;12;critical account;furniture/equipment;3617;<100 DM;>=7 years;1;male:single;none;;4;car or other;28;68,3;none;rent;3;skilled employee / official;1;yes;yes
german;266;2011;1;0 <= <200 DM;15;existing credits paid back duly till now;radio/télévision;802;<100 DM;>=7 years;4;male:single;none;2;3;car or other;37;8,5;none;own;1;skilled employee / official;2;none;yes
german;408;2012;0;<0 DM;15;existing credits paid back duly till now;radio/télévision;1053;<100 DM;<1 years;4;male:married/widowed;none;3;2;real estate;27;94,5;none;own;1;skilled employee / official;1;none;no
german;338;2011;1;<0 DM;15;existing credits paid back duly till now;domestic appliances;1275;no savings account;1<= < 4 years;4;female:divorced/separated/married;none;2;2;car or other;24;45,9;none;rent;1;skilled employee / official;1;none;yes
german;607;2013;0;no checking account;24;critical account;business;4526;<100 DM;1<= < 4 years;3;male:single;none;;2;real estate;74;19,5;none;own;1;management/ highly qualified employee;1;yes;yes
german;115;2010;0;<0 DM;12;existing credits paid back duly till now;radio/télévision;1680;500 <= < 1000 DM;>=7 years;3;male:married/widowed;none;1;1;real estate;35;62,4;none;own;1;skilled employee / official;1;none;yes
german;613;2013;0;<0 DM;21;existing credits paid back duly till now;radio/télévision;3357;>= 1000 DM;<1 years;4;female:divorced/separated/married;none;;2;car or other;29;32,4;bank;own;1;skilled employee / official;1;none;yes
german;73;2010;0;<0 DM;8;critical account;others;1164;<100 DM;>=7 years;3;male:single;none;1;4;unknown / no property;51;49,9;bank;for free;2;management/ highly qualified employee;2;yes;yes
german;700;2013;0;>= 200 DM ;15;existing credits paid back duly till now;education;1905;<100 DM;>=7 years;4;male:single;none;;4;car or other;40;23,1;none;rent;1;management/ highly qualified employee;1;yes;yes
german;272;2011;0;no checking account;12;critical account;furniture/equipment;1402;500 <= < 1000 DM;4<= <7 years;3;female:divorced/separated/married;none;2;4;car or other;37;42,8;none;rent;1;skilled employee / official;1;yes;yes
german;794;2013;0;>= 200 DM ;24;existing credits paid back duly till now;furniture/equipment;2892;<100 DM;>=7 years;3;male:divorced/separated;none;;4;unknown / no property;51;95,9;none;for free;1;skilled employee / official;1;none;yes
german;532;2012;1;0 <= <200 DM;15;existing credits paid back duly till now;car (new);2631;100 <= <500 DM;1<= < 4 years;2;female:divorced/separated/married;none;1;4;car or other;28;15,5;none;rent;2;skilled employee / official;1;yes;yes
german;825;2014;0;no checking account;18;critical account;furniture/equipment;3780;<100 DM;<1 years;3;male:divorced/separated;none;;2;car or other;35;45,2;none;own;2;management/ highly qualified employee;1;yes;yes
german;436;2012;1;0 <= <200 DM;12;existing credits paid back duly till now;radio/télévision;1484;no savings account;1<= < 4 years;2;male:married/widowed;none;1;1;real estate;25;14,3;none;own;1;skilled employee / official;1;yes;yes
german;772;2013;1;<0 DM;36;critical account;education;8065;<100 DM;1<= < 4 years;3;female:divorced/separated/married;none;;2;unknown / no property;25;86,9;none;own;2;management/ highly qualified employee;1;yes;yes
german;525;2012;0;0 <= <200 DM;18;existing credits paid back duly till now;radio/télévision;1113;<100 DM;1<= < 4 years;4;female:divorced/separated/married;guarantor;3;4;real estate;26;85,8;none;own;1;unskilled - resident;2;none;yes
german;894;2014;0;0 <= <200 DM;36;critical account;car (used);5800;<100 DM;1<= < 4 years;3;male:single;none;;4;car or other;34;54;none;own;2;skilled employee / official;1;yes;yes
german;991;2014;0;no checking account;12;critical account;education;3565;no savings account;<1 years;2;male:single;none;;1;savings agreement/life insurance;37;55,4;none;own;2;unskilled - resident;2;none;yes
german;766;2013;0;0 <= <200 DM;12;existing credits paid back duly till now;radio/télévision;1155;<100 DM;>=7 years;3;male:married/widowed;guarantor;;3;real estate;40;98,9;bank;own;2;unskilled - resident;1;none;yes
german;697;2013;0;0 <= <200 DM;12;existing credits paid back duly till now;radio/télévision;1103;<100 DM;4<= <7 years;4;male:single;guarantor;;3;real estate;29;93,5;none;own;2;skilled employee / official;1;none;no
german;236;2011;1;<0 DM;24;existing credits paid back duly till now;radio/télévision;1823;<100 DM;unemployed;4;male:single;none;2;2;car or other;30;59,5;store;own;1;management/ highly qualified employee;2;none;yes
german;798;2013;0;no checking account;12;critical account;furniture/equipment;1258;<100 DM;<1 years;2;female:divorced/separated/married;none;;4;savings agreement/life insurance;22;31,1;none;rent;2;unskilled - resident;1;none;yes
german;203;2011;0;no checking account;27;delay in paying off;business;5117;<100 DM;4<= <7 years;3;male:single;none;2;4;car or other;26;9,7;none;own;2;skilled employee / official;1;none;yes
german;339;2011;0;<0 DM;24;existing credits paid back duly till now;furniture/equipment;4169;<100 DM;1<= < 4 years;4;male:single;none;3;4;savings agreement/life insurance;28;94,2;none;own;1;skilled employee / official;1;none;yes
german;764;2013;1;no checking account;21;critical account;car (new);12680;no savings account;>=7 years;4;male:single;none;;4;unknown / no property;30;19,6;none;for free;1;management/ highly qualified employee;1;yes;yes
german;181;2010;1;no checking account;36;delay in paying off;business;9572;<100 DM;<1 years;1;male:divorced/separated;none;1;1;car or other;28;50,5;none;own;2;skilled employee / official;1;none;yes
german;960;2014;0;0 <= <200 DM;24;existing credits paid back duly till now;furniture/equipment;3069;100 <= <500 DM;>=7 years;4;male:single;none;;4;unknown / no property;30;33,9;none;for free;1;skilled employee / official;1;none;yes
german;615;2013;1;no checking account;18;delay in paying off;furniture/equipment;1808;<100 DM;4<= <7 years;4;female:divorced/separated/married;none;;1;real estate;22;75,8;none;own;1;skilled employee / official;1;none;yes
german;479;2012;0;0 <= <200 DM;12;existing credits paid back duly till now;business;1037;100 <= <500 DM;4<= <7 years;3;male:single;none;2;4;real estate;39;21,6;none;own;1;unskilled - resident;1;none;yes
german;580;2012;0;no checking account;24;existing credits paid back duly till now;retraining;937;<100 DM;<1 years;4;male:married/widowed;none;1;3;car or other;27;55,2;none;own;2;unskilled - resident;1;none;yes
german;716;2013;0;no checking account;30;critical account;car (used);7596;no savings account;>=7 years;1;male:single;none;;4;car or other;63;25,6;none;own;2;skilled employee / official;1;none;yes
german;763;2013;0;<0 DM;12;existing credits paid back duly till now;radio/télévision;2214;<100 DM;1<= < 4 years;4;male:single;none;;3;savings agreement/life insurance;24;70,7;none;own;1;unskilled - resident;1;none;yes
german;412;2012;0;no checking account;33;critical account;car (used);7253;<100 DM;4<= <7 years;3;male:single;none;1;2;car or other;35;55,8;none;own;2;management/ highly qualified employee;1;yes;yes
german;226;2011;0;no checking account;36;no credits taken;repairs;2613;<100 DM;1<= < 4 years;4;male:single;none;1;2;car or other;27;73,2;none;own;2;skilled employee / official;1;none;yes
german;389;2011;0;0 <= <200 DM;15;critical account;business;2326;500 <= < 1000 DM;1<= < 4 years;2;male:single;none;2;4;car or other;27;46,1;bank;own;1;skilled employee / official;1;none;yes
german;726;2013;0;no checking account;6;critical account;car (new);250;>= 1000 DM;1<= < 4 years;2;female:divorced/separated/married;none;;2;real estate;41;60,3;bank;own;2;unskilled - resident;1;none;yes
